case_id,decision_class,thermal_drainage_ratio,thermal_pore_pressure_ratio,head_restraint_ratio,service_margin_index,max_TM_serviceability_ratio,max_THM_serviceability_ratio,tm_thm_decision_gap
478,False Safe,2.2263674787861145,1.6043097336214434,0.45420898473958354,-0.0802795644508183,0.7986150979865191,1.0802795644508183,0.2816644664642992
479,False Safe,1.9700800577760207,1.6085637296383803,0.4934833858454072,-0.32681306888660133,0.8832454428006622,1.3268130688866013,0.44356762608593914
480,Unsafe-Unsafe,2.6084974596458776,1.5992685603079775,0.3156600990283587,-0.6506355890891411,1.3710298983024953,1.650635589089141,0.27960569078664577
481,False Safe,2.12340582869485,1.605919592965181,0.5365268352327361,-0.15441110049949747,0.8607473595589045,1.1544111004994975,0.293663740940593
482,Unsafe-Unsafe,4.558893245211627,1.5856191657447827,0.4284537461344595,-0.2595054668633565,1.057219118046369,1.2595054668633565,0.20228634881698748
483,False Safe,0.848436792571028,1.6451635954496324,0.533600301505859,-0.400964187239949,0.5474963442278759,1.400964187239949,0.8534678430120731
484,Safe-Safe,6.511491775327967,1.5798362493506106,0.5425013806414055,0.0561847026262382,0.752179660153083,0.9438152973737618,0.19163563722067878
485,False Safe,3.0976167576531646,1.594391438508665,0.35169052937152995,-0.010684529257333653,0.7896060388735817,1.0106845292573337,0.22107849038375194
486,False Safe,0.8757898819822905,1.6437102155277445,0.5394142244095982,-0.4932008000760757,0.6188331406227005,1.4932008000760757,0.8743676594533752
487,Safe-Safe,7.24356063528549,1.5784290621749657,0.35837556483479666,0.08566430936437774,0.833310857259246,0.9143356906356223,0.08102483337637623
488,False Safe,1.5872966921330172,1.616814658358462,0.35661599729661453,-0.2597925718634859,0.9240248794244972,1.259792571863486,0.33576769243898874
489,Unsafe-Unsafe,5.639488647060626,1.5819575362030023,0.456936372953796,-0.2012980490345595,1.0611195501760569,1.2012980490345595,0.14017849885850264
490,False Safe,1.460211349887862,1.6202278894173272,0.5120350810668421,-0.3469350905812054,0.8747716601941473,1.3469350905812054,0.4721634303870581
491,Safe-Safe,2.0134288657296664,1.6077838322155342,0.5291865441219751,0.009203976712084172,0.8047857748705562,0.9907960232879158,0.18601024841735958
492,False Safe,2.0546298638684704,1.6070668040522147,0.5474681806777197,-0.3333386198749484,0.8275931911682755,1.3333386198749484,0.5057454287066729
493,Unsafe-Unsafe,2.0455735817960496,1.607222443795944,0.5742026046660925,-0.5688153214944067,1.049732357172189,1.5688153214944067,0.5190829643222177
494,Safe-Safe,5.414688391268774,1.5826074394231795,0.29304275685330444,0.06688491858812806,0.8586679986894522,0.9331150814118719,0.07444708272241973
495,Unsafe-Unsafe,2.31633157623056,1.6029992935602801,0.3850991637770609,-0.3744788979203528,1.1968046158617318,1.3744788979203528,0.177674282058621
496,False Safe,2.3957551573677285,1.6019101801506181,0.3973998386299292,-0.17188630004765915,0.9516243801500339,1.1718863000476591,0.22026191989762522
497,Safe-Safe,3.9158124513916333,1.5886806747927638,0.43794348586541904,0.10213146074028001,0.6720028390035273,0.89786853925972,0.22586570025619268
498,Safe-Safe,2.711559313820999,1.5981157459037472,0.2950434343763377,0.20192798594228623,0.7087676737035026,0.7980720140577138,0.0893043403542112
499,Safe-Safe,6.69427143802382,1.579457697438541,0.4033940940037591,0.350670028121595,0.5409015910126429,0.649329971878405,0.10842838086576212
500,Unsafe-Unsafe,1.2030072322702356,1.6287497165214824,0.3857561904215703,-1.3388525045740152,1.1117172288831056,2.338852504574015,1.2271352756909095
501,False Safe,2.9062628449507875,1.5961304210166387,0.4209870697839941,-0.07374521231205211,0.915464474939845,1.073745212312052,0.15828073737220716
502,Safe-Safe,5.020104952563422,1.5838782678851504,0.5242969614698176,0.08310081350696608,0.8578760729986197,0.9168991864930339,0.05902311349441425
503,False Safe,1.558428098041664,1.6175555704046805,0.4488016578878866,-0.11304952322995265,0.7612514587225401,1.1130495232299527,0.3517980645074126
504,False Safe,1.2459564659057414,1.627115919774849,0.4403621623243468,-0.30077385044404426,0.9214955259596221,1.3007738504440443,0.3792783244844221
505,Unsafe-Unsafe,0.8928754692715376,1.6428165449132723,0.47020740859255067,-0.8284124592501314,1.0314067069589652,1.8284124592501314,0.7970057522911662
506,Safe-Safe,1.7238960659603328,1.613556225536814,0.546809640807004,0.007334406081306977,0.6320315557520441,0.992665593918693,0.36063403816664896
507,False Safe,2.599595253020479,1.5993717719938412,0.5598077300407435,-0.011815728057805064,0.6060678675355553,1.011815728057805,0.40574786052224976
508,Unsafe-Unsafe,0.8487556727080601,1.6451464997026533,0.35195854814446936,-0.6490913466492299,1.120471371301425,1.6490913466492299,0.5286199753478049
509,False Safe,1.9010260808122301,1.6098632884100896,0.4881154598173288,-0.0015029288263148644,0.7466338537158943,1.0015029288263149,0.25486907511042056
510,False Safe,2.0940343948682574,1.6064021375251767,0.33557061578629516,-0.11252118766044616,0.7345496853603268,1.1125211876604462,0.37797150230011933
511,False Safe,1.8291404989888402,1.6112962247653408,0.569731178176707,-0.17581032508792593,0.8092487914867932,1.175810325087926,0.36656153360113275
512,Unsafe-Unsafe,1.2768499517853285,1.6259833600728384,0.5077978376146856,-0.905086792927374,1.5747391677447193,1.905086792927374,0.3303476251826547
513,Unsafe-Unsafe,6.022500920993643,1.5809549035993287,0.5494741814246544,-0.6602610851733717,1.4961000271668876,1.6602610851733717,0.16416105800648406
514,Unsafe-Unsafe,5.901895374320791,1.5812574857697548,0.5623267765542919,-0.28971783042961596,1.1171070046490814,1.289717830429616,0.17261082578053455
515,Safe-Safe,1.0133781522635565,1.636858643948164,0.5011736671933171,0.01930477077184234,0.6073908163684811,0.9806952292281577,0.3733044128596765
